,estalt,vario,elapsed,timestamp
360,-449.0,-1.0,0.016,1681843426.45
361,-474.0,-1.0,0.015,1681843426.53
362,-399.0,-1.0,0.015,1681843426.61
363,-391.0,-1.0,0.015,1681843426.68
364,-424.0,-1.0,0.015,1681843426.76
365,-391.0,-1.0,0.015,1681843426.84
366,-441.0,-1.0,0.015,1681843426.92
367,-382.0,-1.0,0.014,1681843427.00
368,-391.0,-1.0,0.015,1681843427.09
369,-399.0,-1.0,0.015,1681843427.16
370,-407.0,-1.0,0.015,1681843427.24
371,-449.0,-1.0,0.015,1681843427.33
372,-466.0,-1.0,0.015,1681843427.40
373,,,,
374,37.0,33.0,0.014,1681843427.50
375,-432.0,-1.0,0.015,1681843427.58
376,-432.0,-1.0,0.014,1681843427.66
377,-441.0,-1.0,0.015,1681843427.74
378,-432.0,-1.0,0.015,1681843427.82
379,-474.0,-1.0,0.015,1681843427.90
380,-432.0,-1.0,0.007,1681843427.98
381,-424.0,-1.0,0.015,1681843428.06
382,-432.0,-1.0,0.015,1681843428.14
383,-432.0,-1.0,0.015,1681843428.22
384,-441.0,-1.0,0.015,1681843428.30
385,-441.0,-1.0,0.015,1681843428.38
386,-441.0,-1.0,0.015,1681843428.46
387,-432.0,-1.0,0.015,1681843428.54
388,-466.0,-1.0,0.015,1681843428.62
389,-458.0,-1.0,0.014,1681843428.70
390,-432.0,-1.0,0.015,1681843428.78
391,-441.0,-1.0,0.015,1681843428.86
392,,,,
393,,,,
394,,,,
395,,,,
396,1500.0,1500.0,0.015,1681843429.05
397,-432.0,-1.0,0.015,1681843429.13
398,250.0,-203.0,0.015,1681843429.21
399,-424.0,-1.0,0.015,1681843429.29
400,-441.0,-1.0,0.015,1681843429.37
401,-432.0,-1.0,0.015,1681843429.45
402,-407.0,-1.0,0.015,1681843429.53
403,-399.0,-1.0,0.015,1681843429.61
404,-432.0,-1.0,0.015,1681843429.69
405,-466.0,-1.0,0.015,1681843429.77
406,-441.0,-1.0,0.015,1681843429.85
407,-441.0,-1.0,0.014,1681843429.93
408,-424.0,-1.0,0.015,1681843430.01
409,-449.0,-1.0,0.015,1681843430.09
410,-432.0,-1.0,0.015,1681843430.17
411,,,,
412,88.0,-39.0,0.0,1681843430.23
413,-416.0,-1.0,0.015,1681843430.30
414,75.0,-67.0,0.015,1681843430.38
415,-424.0,-1.0,0.015,1681843430.46
416,-382.0,-1.0,0.015,1681843430.54
417,-416.0,-1.0,0.015,1681843430.62
418,-474.0,-1.0,0.014,1681843430.70
419,-424.0,-1.0,0.015,1681843430.78
420,-407.0,-1.0,0.015,1681843430.86
421,-416.0,-1.0,0.015,1681843430.94
422,-458.0,-1.0,0.015,1681843431.02
423,-416.0,-1.0,0.015,1681843431.10
424,-374.0,-1.0,0.015,1681843431.18
425,-458.0,-1.0,0.015,1681843431.26
426,-407.0,-1.0,0.015,1681843431.34
427,-416.0,-1.0,0.015,1681843431.42
