,roll,pitch,yaw,throttle,elapsed,timestamp
5381,1500,1500,1500,885,0.016,1681843808.65
5382,1500,1500,1500,885,0.015,1681843808.73
5383,1500,1500,1500,885,0.015,1681843808.81
5384,1500,1500,1500,885,0.015,1681843808.89
5385,1500,1500,1500,885,0.015,1681843808.97
5386,1500,1500,1500,885,0.016,1681843809.05
5387,,,,,,
5388,1500,1500,1500,885,0.016,1681843809.20
5389,1500,1500,1500,885,0.016,1681843809.28
5390,1500,1500,1500,885,0.015,1681843809.36
5391,1500,1500,1500,885,0.015,1681843809.44
5392,1500,1500,1500,885,0.015,1681843809.52
5393,1500,1500,1500,885,0.015,1681843809.60
5394,1500,1500,1500,885,0.016,1681843809.68
5395,1500,1500,1500,885,0.016,1681843809.76
5396,1500,1500,1500,885,0.016,1681843809.84
5397,1500,1500,1500,885,0.015,1681843809.92
5398,1500,1500,1500,885,0.015,1681843810.00
5399,1500,1500,1500,885,0.016,1681843810.08
5400,1500,1500,1500,885,0.015,1681843810.16
5401,1500,1500,1500,885,0.015,1681843810.24
5402,1500,1500,1500,885,0.015,1681843810.32
5403,1500,1500,1500,885,0.015,1681843810.40
5404,1500,1500,1500,885,0.015,1681843810.48
5405,1500,1500,1500,885,0.015,1681843810.56
5406,,,,,,
5407,,,,,,
5408,1500,1500,1500,885,0.016,1681843810.73
5409,1500,1500,1500,885,0.016,1681843810.81
5410,1500,1500,1500,885,0.016,1681843810.89
5411,1500,1500,1500,885,0.016,1681843810.97
5412,1500,1500,1500,885,0.016,1681843811.05
5413,1500,1500,1500,885,0.015,1681843811.13
5414,1500,1500,1500,885,0.015,1681843811.21
5415,1500,1500,1500,885,0.015,1681843811.29
5416,1500,1500,1500,885,0.016,1681843811.37
5417,1500,1500,1500,885,0.016,1681843811.45
5418,1500,1500,1500,885,0.015,1681843811.53
5419,1500,1500,1500,885,0.015,1681843811.61
5420,1500,1500,1500,885,0.016,1681843811.69
5421,1500,1500,1500,885,0.015,1681843811.77
5422,1500,1500,1500,885,0.015,1681843811.85
5423,1500,1500,1500,885,0.015,1681843811.93
5424,1500,1500,1500,885,0.015,1681843812.01
5425,,,,,,
5426,,,,,,
5427,1500,1500,1500,885,0.015,1681843812.22
5428,1500,1500,1500,885,0.015,1681843812.30
5429,1500,1500,1500,885,0.016,1681843812.38
5430,1500,1500,1500,885,0.016,1681843812.46
5431,1500,1500,1500,885,0.016,1681843812.54
5432,1500,1500,1500,885,0.016,1681843812.62
5433,1500,1500,1500,885,0.016,1681843812.70
5434,1500,1500,1500,885,0.015,1681843812.78
5435,1500,1500,1500,885,0.015,1681843812.86
5436,1500,1500,1500,885,0.015,1681843812.94
5437,1500,1500,1500,885,0.015,1681843813.02
5438,1500,1500,1500,885,0.015,1681843813.10
5439,1500,1500,1500,885,0.016,1681843813.18
5440,1500,1500,1500,885,0.016,1681843813.26
5441,1500,1500,1500,885,0.016,1681843813.34
5442,1500,1500,1500,885,0.016,1681843813.42
5443,1500,1500,1500,885,0.016,1681843813.50
5444,,,,,,
5445,,,,,,
5446,,,,,,
5447,,,,,,
5448,1500,1500,1500,885,0.015,1681843813.69
5449,,,,,,
5450,4,-110,-544,138,0.015,1681843813.85
5451,,,,,,
5452,1500,1500,1500,885,0.015,1681843814.01
5453,1500,1500,1500,885,0.016,1681843814.09
5454,1500,1500,1500,885,0.015,1681843814.17
5455,1500,1500,1500,885,0.015,1681843814.25
5456,1500,1500,1500,885,0.015,1681843814.33
5457,1500,1500,1500,885,0.016,1681843814.41
5458,1500,1500,1500,885,0.016,1681843814.49
5459,1500,1500,1500,885,0.015,1681843814.57
5460,1500,1500,1500,885,0.015,1681843814.65
5461,1500,1500,1500,885,0.015,1681843814.73
5462,1500,1500,1500,885,0.015,1681843814.81
5463,,,,,,
5464,,,,,,
5465,1500,1500,1500,885,0.016,1681843814.96
5466,,,,,,
5467,1500,1500,1500,885,0.015,1681843815.12
5468,1500,1500,1500,885,0.016,1681843815.20
5469,1500,1500,1500,885,0.016,1681843815.28
5470,1500,1500,1500,885,0.015,1681843815.36
5471,1500,1500,1500,885,0.015,1681843815.44
5472,1500,1500,1500,885,0.015,1681843815.52
5473,1500,1500,1500,885,0.015,1681843815.60
5474,1500,1500,1500,885,0.016,1681843815.68
5475,1500,1500,1500,885,0.016,1681843815.76
5476,1500,1500,1500,885,0.016,1681843815.84
5477,1500,1500,1500,885,0.016,1681843815.92
5478,1500,1500,1500,885,0.016,1681843816.00
5479,1500,1500,1500,885,0.016,1681843816.08
5480,1500,1500,1500,885,0.015,1681843816.16
5481,1500,1500,1500,885,0.015,1681843816.24
5482,1500,1500,1500,885,0.015,1681843816.32
5483,,,,,,
5484,,,,,,
5485,48,-130,-517,-100,0.015,1681843816.40
5486,,,,,,
5487,,,,,,
5488,1500,1500,1500,885,0.015,1681843816.64
5489,1500,1500,1500,885,0.015,1681843816.72
5490,1500,1500,1500,885,0.015,1681843816.80
5491,1500,1500,1500,885,0.016,1681843816.88
5492,1500,1500,1500,885,0.016,1681843816.96
5493,1500,1500,1500,885,0.016,1681843817.04
5494,1500,1500,1500,885,0.016,1681843817.12
5495,1500,1500,1500,885,0.016,1681843817.20
